fold,iso,a,b,c,lat,lng,training_count
0,BY,0,6,6,54.391262179659506,26.123713055382108,30
0,BY,0,6,12,54.981664845339616,26.830447329643043,10
0,BY,0,6,14,54.07658463161565,26.92703312913607,3
0,BY,0,6,17,53.910329087024735,25.87262827597327,4
0,BY,0,7,1,54.344614833577005,28.24421837001722,25
0,BY,0,7,14,53.99621745677638,27.843314786581974,13
0,BY,0,8,17,53.74088219154176,25.49067307904847,2
0,BY,0,11,2,53.478492462516684,27.16374608258244,9
0,BY,0,11,14,53.670086692825585,27.58223982502891,10
0,BY,0,11,17,53.544716107097116,26.138758163338714,9
0,BY,1,0,3,55.37929403926134,28.89405909256721,36
0,BY,1,0,7,55.81785213567288,28.479750700845884,67
0,BY,1,0,12,55.19225395042585,27.853709077511574,6
0,BY,1,6,12,55.13358722798529,27.189660273974003,3
0,BY,1,7,1,54.77655983979811,28.40694971477354,5
0,BY,2,2,9,52.244044046528515,31.138429937578017,34
0,BY,2,2,11,52.6451521033687,30.788154067345157,14
0,BY,2,10,11,52.72941900000001,30.322464999999998,1
0,BY,3,3,8,52.3723485037685,25.722051739974503,34
0,BY,3,3,13,52.355093024339766,24.419511247810238,24
0,BY,3,3,17,53.04833051866596,25.523249302706265,6
0,BY,3,8,5,53.506924388385606,24.161527084987128,15
0,BY,3,11,17,53.131315597556885,26.068454126293805,2
0,BY,4,2,11,52.931903715349364,30.636612570793904,2
0,BY,4,7,1,53.870872000000006,29.21401,1
0,BY,4,9,11,53.26494600000001,30.422466000000004,1
0,BY,4,9,15,53.72448325291934,30.705213102187177,56
0,BY,4,10,4,53.05240407237069,29.374964826938843,44
0,BY,4,10,11,53.04058795956384,30.43053099625878,11
0,BY,5,5,0,54.91458771525455,30.323128623208614,54
0,BY,5,5,3,55.263809056913615,29.614298639201216,20
0,BY,5,7,1,54.51767179542059,29.02235215835758,10
0,BY,6,1,8,51.98792049128483,26.42511456984133,2
0,BY,6,1,10,52.21387066023125,27.47649442366644,40
0,BY,6,3,8,52.493733,26.315250000000002,1
0,BY,6,11,2,53.1106496999001,27.280415392471298,21
0,BY,7,4,9,51.68657633068493,30.36787821128104,10
0,BY,7,4,16,51.8757888149108,29.300580527795596,54
0,BY,7,10,4,52.53815778997819,29.327185475955538,2
0,DE,8,12,23,51.475156000000005,12.10533,1
0,DE,8,12,29,50.702293224876215,12.754546833861866,13
0,DE,8,15,23,51.953577049347565,10.566090665459466,2
0,DE,8,16,24,49.85542122001516,11.093638133349968,23
0,DE,8,16,29,50.02854008399738,12.228326844290184,2
0,DE,8,21,23,51.56209786927753,11.102676614652337,11
0,DE,8,21,29,50.69898003203734,11.511132166061435,18
0,DE,8,21,30,50.82627872850107,10.15103652581403,29
0,DE,8,21,34,51.683241,10.214574,1
0,DE,9,14,28,47.85346212282851,11.143768879721828,27
0,DE,9,16,24,49.12796106627227,11.14931696204502,19
0,DE,9,17,21,48.45788388167347,12.56722330025301,43
0,DE,10,15,34,52.7969414327879,9.695757266766323,5
0,DE,10,15,35,53.26889567842971,10.150511184677919,10
0,DE,10,22,25,53.334535415921664,7.988995578401148,32
0,DE,10,22,34,52.851071,9.176553000000002,1
0,DE,10,22,35,53.32723843454857,9.266580544038089,13
0,DE,10,23,27,54.613366447817455,9.16579095302721,35
