fold,iso,a,b,c,lat,lng,training_count
1,BY,0,0,1,52.30574043757461,24.150367317080214,20
1,BY,0,0,5,52.121738991523586,25.77769258880615,2
1,BY,0,0,6,52.53875860408138,25.495294812092325,42
1,BY,0,0,9,53.51369129545799,24.10020483784345,15
1,BY,0,8,15,53.13635884239906,26.00987707887418,2
1,BY,0,11,5,52.155610420681896,26.092086442190084,5
1,BY,1,2,17,55.12204920434684,27.179388551039597,4
1,BY,1,4,13,54.98423,28.839587,1
1,BY,1,4,14,55.329901647450676,29.241885121943394,5
1,BY,1,6,13,54.83888027443074,28.67963824684406,2
1,BY,1,10,2,55.69629996909602,28.62076197730316,75
1,BY,1,10,17,55.18612392532889,27.83559707109445,6
1,BY,2,4,14,55.2171357197138,30.008645752762146,53
1,BY,2,6,13,54.62558231012315,29.101603941431343,3
1,BY,2,7,8,54.60699576275278,30.44697897064954,28
1,BY,3,3,0,51.864330619276686,29.197270397723756,48
1,BY,3,3,16,51.83976907765475,30.062864823759714,19
1,BY,3,5,10,52.586723,29.367822,1
1,BY,3,9,12,52.31486887883542,31.133920291938313,31
1,BY,3,9,16,52.08078532405465,30.393978632074855,9
1,BY,4,3,11,52.21956500000001,28.526037000000002,1
1,BY,4,8,7,53.09328469280668,27.847258955228604,4
1,BY,4,8,15,53.11748346298555,27.112762242388122,18
1,BY,4,11,5,51.990411974769565,26.614841189137067,11
1,BY,4,11,11,52.26972966589877,27.637337699418755,31
1,BY,5,5,7,53.236683146197024,28.677730241938143,5
1,BY,5,6,7,53.984503003128566,27.802229882657688,10
1,BY,5,6,13,54.34467808480168,28.341927894584817,36
1,BY,5,8,7,53.639025627456924,27.602772714730847,16
1,BY,5,8,15,53.45730240638102,27.09425743881327,3
1,BY,6,1,3,53.70951972642061,30.72895016870495,49
1,BY,6,1,10,53.258604540513424,30.47562389239583,3
1,BY,6,5,10,53.026138700936635,29.841251788715972,52
1,BY,6,9,10,52.88735200000001,30.670180999999996,1
1,BY,6,9,12,52.68951395282815,30.804624930627426,14
1,BY,7,2,4,54.31515385108794,26.177404886619623,46
1,BY,7,2,17,54.99607663326568,26.79247355069679,9
1,BY,7,8,15,53.53435701710892,26.22793532585877,11
1,DE,8,12,18,50.38244919472466,9.139255405927294,26
1,DE,8,12,33,49.76040138878405,8.918018422013104,10
1,DE,8,18,18,51.00497036975115,8.548667403984899,6
1,DE,8,18,24,51.11365995178603,7.406889490864731,6
1,DE,8,18,25,50.92003600000001,7.926111000000001,1
