filename,country,iso,lat,lng,fold,country_index,a,b,c,coarse,fine
000f2b81d53847fa840df9bd0d59f9cf.jpg,Poland,PL,51.659431,17.800406,0,9,74,112,170,57,184
000f306e85ea4f5ca0ba89e76b6d698b.jpg,Finland,FI,67.673233,24.221374,0,3,29,39,63,23,72
000f6b23adde458090bbbd202dcd7a30.jpg,Finland,FI,61.488511,22.70362,1,3,26,37,56,20,70
000ff4ddb5fd41408eb4adad85c37e7b.jpg,Belarus,BY,53.227725,28.685234,1,0,2,9,4,3,1
001d942139a74bc7a3dc6f15fda203fe.jpg,United_Kingdom,GB,57.398188,-3.408784,4,5,41,71,98,32,104
003c69a1a1344a9b9706180523b39e7b.jpg,Spain,ES,38.132169,-0.951758,3,2,22,29,49,16,44
003e7647a298476f9a6d86b43aa613f3.jpg,United_Kingdom,GB,52.771584,-2.733232,0,5,42,65,94,33,108
00413a2cbe4740afa40dd8b5d9236855.jpg,Norway,NO,58.671712,5.596509,4,8,66,104,145,50,179
0041ded3d11848a29e1b5f3e2a795dbb.jpg,Poland,PL,51.776288,21.16491,0,9,79,119,164,59,198
00440e61758940c089a060199d0820d0.jpg,United_Kingdom,GB,50.37843,-4.942082,0,5,40,62,91,34,105
0048aaf4799e4812af341787e23beb84.jpg,Italy,IT,41.138182,16.765977,3,7,58,91,135,45,156
004d6a54456c4568accb522ab7ef6736.jpg,Belarus,BY,53.483668,26.399052,0,0,4,3,12,5,18
004e2663dd664c728eee9b671633815d.jpg,Italy,IT,39.079642,8.418951,0,7,59,95,134,42,153
004fb7c4318e43c88e7b8f9fc6c64783.jpg,United_Kingdom,GB,50.095049,-5.559013,3,5,40,62,91,34,105
0050602ff67c4226940f39601ead69fd.jpg,Germany,DE,51.058411,14.616768,0,1,12,20,19,9,38
0052dcb578f74ec9b8915d16979c8ae3.jpg,France,FR,47.520819,4.324779,1,4,35,53,81,28,81
005658d1ba634559a38d1c7ebdbf7f21.jpg,Turkey,TR,39.125923,30.16177,0,11,93,140,203,67,231
0057bf0f91f64f04b899dee57ade9960.jpg,Sweden,SE,62.448483,17.308534,4,10,87,122,186,65,216
005852fdabaf4d25bc087086a51f36ff.jpg,Poland,PL,53.517441,19.013004,1,9,78,114,173,58,197
005def1af56347558723886d9ddfa48f.jpg,Belarus,BY,53.790706,30.93654,1,0,6,1,17,4,15
005e9cb7fd5b4024b5815614a701dfa5.jpg,Iceland,IS,65.550691,-23.115731,1,6,52,81,108,41,122
0068ad409c7c423bb620022c5f839e6e.jpg,Turkey,TR,38.270758,40.9521,3,11,89,132,198,66,227
0069ba77e4454caca74a367303668dd2.jpg,Italy,IT,42.779707,11.124759,4,7,62,90,131,47,146
007111be52084672b8eed21fa7298449.jpg,Poland,PL,50.379338,19.758415,0,9,76,117,174,54,182
007b0d7c6deb41499dfa6e335c370d37.jpg,Turkey,TR,40.741136,30.43627,3,11,93,140,214,67,230
0087f52cd0b9428b9b8f1576f3bf91f0.jpg,Spain,ES,39.351556,3.132722,0,2,19,35,38,17,40
008aaac423a34be6bf455d8433560fe5.jpg,Iceland,IS,66.01157,-19.387095,4,6,48,83,125,40,131
00937a4d0d6b4653b84e010a74a70afb.jpg,Sweden,SE,55.735412,13.860623,0,10,81,123,194,63,201
00962bcda8a74486be91dc7fe4986b4c.jpg,Spain,ES,41.103312,-1.168238,4,2,21,34,42,12,46
00a75e537d2744aca7570fe2033b6617.jpg,Iceland,IS,63.89848,-16.606319,4,6,54,72,118,38,127
00b08cf54351475abbddcc7500120f13.jpg,Germany,DE,53.264812,14.34853,3,1,9,13,23,9,26
00bf755ac0f84c9d90fc5a4f7ee74ba5.jpg,Sweden,SE,58.281304,12.745366,0,10,86,128,180,63,208
00bfe0e7da0047bfb7c78f14ac33dae8.jpg,Poland,PL,51.794583,19.422899,1,9,79,112,172,57,190
00c1b46f23a742efb330ae46aa173c56.jpg,Spain,ES,39.561229,3.249621,4,2,19,35,38,17,40
00cffab329d1441c8886b9ebd6cebaf7.jpg,Norway,NO,69.377999,24.059308,1,8,64,103,156,49,169
00d2012ffeea43e491f51f2a17dc02be.jpg,Sweden,SE,56.223308,13.58875,3,10,81,123,194,63,201
00d4d532911b4b98a169f0ea1b7a2c3d.jpg,Italy,IT,46.826268,11.935988,0,7,61,86,140,43,142
00d64b744239408da717b32664e07284.jpg,Iceland,IS,65.222486,-14.349844,1,6,55,79,110,37,129
00dfe11207564bc499724f5639bd033b.jpg,Italy,IT,37.91754,12.539982,1,7,57,85,136,46,154
00e55fccb2f94dd5aa2e35eb423543da.jpg,United_Kingdom,GB,58.538793,-4.297489,0,5,46,67,107,32,102
00e7b198280a4879bb6d1d89e222bace.jpg,United_Kingdom,GB,56.901067,-5.019641,4,5,41,61,101,31,110
00eb7a03b59f42eda54be709e34a31d6.jpg,Norway,NO,68.361888,22.859862,3,8,64,103,156,49,177
