filename,fold,iso,shortlist_min_km,nearest_bank_km,distance_km
0006762b474e4b4d9be9a61ed0247fd9.jpg,2,IT,0.338,0.338,0.338
000f2b81d53847fa840df9bd0d59f9cf.jpg,0,PL,4.4106,0.58,1978.973
000f306e85ea4f5ca0ba89e76b6d698b.jpg,0,FI,5.0004,5.0004,5.0341
000f6b23adde458090bbbd202dcd7a30.jpg,1,FI,46.991,11.1678,717.6444
000ff4ddb5fd41408eb4adad85c37e7b.jpg,1,BY,1.4367,1.4367,3.0918
00138c19ed274a64a8eb01a8fbd6c33f.jpg,2,FI,4.1763,4.1763,4.2246
0019a967bdae44d4a7adc69bfcb1f823.jpg,2,IS,1.3392,1.3392,1.6199
001c2dde9a32436ca4192d5015a4af8c.jpg,2,FI,56.8608,28.9111,484.7376
001d942139a74bc7a3dc6f15fda203fe.jpg,4,GB,30.0874,10.1933,3751.9878
00368a72f2a9491fba0f2fd1ea95bfbc.jpg,2,FR,34.0435,14.9486,888.0811
003c69a1a1344a9b9706180523b39e7b.jpg,3,ES,109.8725,1.9488,933.2565
003e7647a298476f9a6d86b43aa613f3.jpg,0,GB,99.5582,10.8062,1339.3792
00413a2cbe4740afa40dd8b5d9236855.jpg,4,NO,0.1184,0.1184,0.1184
0041ded3d11848a29e1b5f3e2a795dbb.jpg,0,PL,8.9408,8.9408,8.9408
00440e61758940c089a060199d0820d0.jpg,0,GB,0.619,0.619,21.6386
0048aaf4799e4812af341787e23beb84.jpg,3,IT,379.9192,0.9332,1807.1534
004d6a54456c4568accb522ab7ef6736.jpg,0,BY,1.7539,1.7539,174.0935
004e2663dd664c728eee9b671633815d.jpg,0,IT,2.1997,2.1997,2.9472
004ebffb76f84ed8aef5b1dd8cc3764d.jpg,2,FI,0.0913,0.0913,0.0913
004fb7c4318e43c88e7b8f9fc6c64783.jpg,3,GB,3.7114,3.7114,411.6701
0050602ff67c4226940f39601ead69fd.jpg,0,DE,19.5764,14.04,754.4238
0052dcb578f74ec9b8915d16979c8ae3.jpg,1,FR,1.4192,1.4192,55.6871
005658d1ba634559a38d1c7ebdbf7f21.jpg,0,TR,4.7387,4.7387,4.7387
0057bf0f91f64f04b899dee57ade9960.jpg,4,SE,22.821,10.5546,2154.908
005852fdabaf4d25bc087086a51f36ff.jpg,1,PL,2.4326,2.4326,168.6215
005def1af56347558723886d9ddfa48f.jpg,1,BY,1.274,1.274,1.274
005e9cb7fd5b4024b5815614a701dfa5.jpg,1,IS,3.3117,3.3117,14.3733
0068ad409c7c423bb620022c5f839e6e.jpg,3,TR,0.1954,0.1954,0.2525
0069ba77e4454caca74a367303668dd2.jpg,4,IT,570.1655,1.6803,1158.8113
006d6770631844dfb8430961c13f069d.jpg,2,FI,0.4525,0.4525,73.4689
007111be52084672b8eed21fa7298449.jpg,0,PL,21.1936,7.9461,236.7018
007b0d7c6deb41499dfa6e335c370d37.jpg,3,TR,106.1723,2.5236,1159.6337
0087f52cd0b9428b9b8f1576f3bf91f0.jpg,0,ES,0.7568,0.7568,2.5347
008aaac423a34be6bf455d8433560fe5.jpg,4,IS,0.6962,0.6962,5.6524
00906204ddc84819a976d80a06e4bcb3.jpg,2,FR,61.1355,13.3675,472.13
00937a4d0d6b4653b84e010a74a70afb.jpg,0,SE,1.0421,1.0421,1501.5206
00962bcda8a74486be91dc7fe4986b4c.jpg,4,ES,1.6092,1.6092,167.4682
00a75e537d2744aca7570fe2033b6617.jpg,4,IS,1.3819,0.8144,141.9383
00b08cf54351475abbddcc7500120f13.jpg,3,DE,12.4744,12.4744,724.0773
00bf755ac0f84c9d90fc5a4f7ee74ba5.jpg,0,SE,13.8186,13.8186,347.1145
00bf92708e3b40b6b3c9c66cde332727.jpg,2,NO,0.2164,0.2164,1.0431
00bfe0e7da0047bfb7c78f14ac33dae8.jpg,1,PL,15.2829,3.7667,531.1496
00c1b46f23a742efb330ae46aa173c56.jpg,4,ES,0.4825,0.4825,11.5026
00cdd5e5637641948ccfa56664dddce7.jpg,2,FR,11.0453,11.0453,47.7871
00cffab329d1441c8886b9ebd6cebaf7.jpg,1,NO,0.1214,0.1214,0.1214
00d2012ffeea43e491f51f2a17dc02be.jpg,3,SE,4.8616,4.8616,9.9498
00d4d532911b4b98a169f0ea1b7a2c3d.jpg,0,IT,26.2243,15.1752,1631.5099
